CM3,Profitable
-5.002951190691753,False
-21.057995301021514,False
-27.317345993434532,False
-0.020006883615849347,False
-38.91124924325083,False
-7.087870257298505,False
-19.136889962778817,False
-14.825410545194124,False
-25.498772631829354,False
1.6945964345713804,True
-9.02030393164879,False
-27.89239084085686,False
-7.315051304229289,False
-28.815445371700577,False
-23.94053868288097,False
-25.96849971999011,False
-7.685548514334034,False
-3.4301705810876406,False
-12.983646992122962,False
-33.5696106020369,False
-31.89410273191497,False
-27.718407537938873,False
-22.964181817390426,False
-34.760260248897126,False
-15.759410095716234,False
-38.63052124253136,False
-27.82380367241349,False
-5.655333115279667,False
-26.354693720107623,False
-12.155918182846946,False
-20.284821672756223,False
-19.044385352421962,False
-6.789993939777766,False
-25.007043642467988,False
-40.015763540999004,False
-13.35319402235488,False
-20.795562059814863,False
-10.500393968381339,False
-33.91647458074102,False
14.013743601354928,True
-45.823681985983676,False
-0.4598197752127291,False
-18.074250485344784,False
-16.96016910614142,False
-13.734337111842649,False
2.2158106912276345,True
-26.233282072091736,False
-15.861472873456346,False
-6.61376408674505,False
-38.941822608669874,False
-13.698948294531615,False
-31.057321055982772,False
-25.931694155844664,False
-2.3159566855638936,False
-24.474176213033033,False
7.158519860871834,True
-37.27332049666668,False
-26.6501325145903,False
-17.764324478636375,False
-40.14436427221011,False
-25.310767686647342,False
-34.354872965603874,False
14.095540269104486,True
11.074547256813151,True
6.294008513469866,True
-24.517421811987887,False
-34.85980109691257,False
-43.38215291180686,False
4.995861262204265,True
-14.052524176713945,False
-36.565194428304245,False
25.91386478388704,True
-12.291862572279843,False
-35.86146239956978,False
-5.898323917358049,False
-25.62278719786995,False
-27.63307092279078,False
-2.7712440028169496,False
-14.794660750170543,False
-8.180920115265216,False
-8.249995492919528,False
-25.385213265028156,False
-17.66783987114883,False
-17.620077974896645,False
-32.56964916304929,False
-34.17913184467538,False
-27.862842613024934,False
-20.771694949747275,False
-11.320077368516657,False
-23.113536714998126,False
-15.10786603280473,False
-6.355659571399066,False
-9.520458991133268,False
-16.930681765086014,False
-21.751820771374582,False
-19.75546484480512,False
-21.934025056982367,False
4.7702221147483534,True
-52.94630678870943,False
-42.02975349951258,False
-36.28524936100097,False
-23.04020956224617,False
-29.88626267046422,False
-51.558706443988314,False
-0.34351775447366606,False
8.263180989203669,True
-8.235548101168629,False
-4.880474747577445,False
-30.07221040707317,False
19.076638502283167,True
-3.7478953311679923,False
-47.0985226127573,False
-14.39665902127227,False
-36.276502871206546,False
-19.43143839448983,False
13.962980373602988,True
-16.117267941391212,False
-43.59782706004243,False
-53.63952481015138,False
-15.36646190891718,False
-6.94377297101008,False
-25.10589223392467,False
8.431266716558348,True
-14.58587854330684,False
-36.63230552423574,False
-5.918880485648792,False
-26.857855392811754,False
-13.742942880453,False
-10.328191259892687,False
-1.9867573535854923,False
-38.04141984329767,False
-12.146349055445786,False
-26.80320262708733,False
-9.224236615330543,False
-35.5251214508522,False
4.769433298022829,True
-51.40972378136752,False
-10.241330049187994,False
-6.108359794807114,False
-26.16082256233196,False
-29.200790709339586,False
4.797738770850419,True
-34.657961256258304,False
-39.67513294802185,False
-7.729793759009475,False
-3.3806341180717325,False
-19.414945611129802,False
-4.568787392407884,False
-19.964683388800054,False
-12.467322073527654,False
1.2444937911342784,True
-25.955082497207748,False
-52.543966419219615,False
-16.484129344820047,False
-19.93886540548318,False
-30.61905598338383,False
10.998678718571597,True
-10.1477793944325,False
-25.078237747937195,False
-8.866279955059639,False
-40.79733276240503,False
-9.474392380674058,False
-24.8012846551897,False
-25.277024494751117,False
-18.53271308428328,False
-25.764241962883617,False
-20.45316692321764,False
-88.12358660683387,False
-18.631400191932485,False
-38.81630611771989,False
2.9558898815755263,True
-39.104674288477625,False
-3.025527091572041,False
-39.79139624188897,False
-11.29182409038085,False
-36.821436356500634,False
-30.957706216690706,False
-56.24228786247463,False
-21.63962537022103,False
-15.203686419228518,False
3.9785250630715545,True
-12.136968395697473,False
-28.650851634928948,False
-4.3146685350107425,False
-19.344939060440694,False
-33.94270272422902,False
-12.18702343821171,False
-24.040670849409487,False
-23.985513737916303,False
-4.7661803526888775,False
-36.85838039826474,False
9.832036880445166,True
-41.778685157346835,False
-29.654016353015308,False
-22.785524576576723,False
-6.343583117364918,False
-15.466832743797085,False
-10.41078635456974,False
1.4292829279555015,True
-21.108230448232263,False
-4.759921519710385,False
-25.68458590832255,False
2.9732426559883613,True
-15.632766045632039,False
-13.262205689433284,False
-43.59476812225322,False
-41.030086409182445,False
-21.387817310672965,False
-26.0335391262608,False
4.13352934831628,True
-15.105424622528933,False
-8.886251876466616,False
-24.168736214441488,False
-42.09072833158133,False
-26.10320333256367,False
-3.935327874164546,False
-23.15677496741652,False
-22.50896337798293,False
-25.363034228774676,False
-20.135418101168607,False
27.28809118791679,True
-21.571414857447365,False
-14.874906109100905,False
-9.791168218726803,False
-31.51005045062611,False
-4.461936834445758,False
-6.387477916299325,False
-16.62436577751261,False
-19.754926131841387,False
-6.857199286212737,False
-2.21411431301199,False
11.189643461367933,True
14.314352896592084,True
-31.559997379868022,False
-39.698776197158764,False
-42.70660821808332,False
16.588494935161357,True
-16.311605457187984,False
-36.55771769366194,False
-14.476258256453079,False
-12.058771821412158,False
